PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,hAST%,TOR,hTO%,AST/TO,STL/TO,PPR,USG%,STL%,BLK%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV,DRE/100,DRE/75,POS
K. Quiambao,DLSU,86.81818181818181,11.0,29.93787878789091,2.9446536055164922,28.792833889627268,2.5201504751451127,1.8331414052815116,0.6870090698636009,19.818181818181817,13.799999999999999,54.674099485420236,50.303030303030305,1.0934819897084047,0.296969696969697,13.727318955310764,5.059870113277062,21.741619921264533,7.558934985078915,31.219253626942294,17.675651789659742,5.8266790509983295,13.62498158786272,1.2972972972972974,0.2972972972972973,-1.4434575286896933,28.98606970469684,,4692330.077431169,85.84269662921348,107.31113051168313,80.99461099162487,46.20008896899942,0.6600967855371717,49.13106183566341,18.14797580269893,2.701612614554064,20.099065118079633,15.074298838559724,635.0100919607114
P. Momowei,UE,73.9090909090909,11.0,35.707575757581814,1.3235512840127346,17.59304217133741,0.978140619147843,-0.05629248649938743,1.0344331056472305,15.545454545454545,8.509090909090906,42.94443163477058,40.6015037593985,0.8588886326954116,0.6917293233082706,19.94025428731005,9.795562351473695,30.317622643693106,2.8437915346359897,12.684343388235087,8.248102936324646,6.967289259858175,20.207852193995382,0.40816326530612246,0.30612244897959184,-9.402692901413367,27.45246122473623,,10866041.498703972,73.9090909090909,77.29959458189465,77.18823321107617,39.80553901984744,0.8295328985968156,51.83383150871366,13.72079089275015,2.2517894914744274,14.087026626681704,10.565269970011277,703.2864313860487
M. Phillips,DLSU,73.81818181818181,11.0,22.865151515145456,2.278361707832709,29.027568879775863,1.730579707101648,0.8905451589049636,0.8400345481966843,17.272727272727273,10.636363636363637,47.906602254428336,44.5,0.9581320450885668,0.55,23.77744329901875,18.705900795093317,28.466812538900918,5.567113541732113,21.238603290061338,14.90066225165563,6.185681713035682,16.55629139072848,0.9,0.5666666666666667,-4.53588665711729,26.17740228566851,,24575110.993313782,72.9887640449438,97.1902669304944,71.77923598736842,47.890674467299405,0.8758150654548646,53.244759730759746,12.37785016286645,2.4369460009524513,21.933150542834344,16.44986290712576,484.99100651716554
M. Konateh,FEU,65.81818181818181,11.0,34.29999999999091,2.395871669009123,23.583588801244666,1.7044273474546712,0.8173574940123112,0.8870698534423601,21.727272727272727,11.854545454545455,50.49075122687806,46.15384615384615,1.0098150245375612,0.37362637362637363,20.418572733764037,14.351809592731339,26.141038162291945,1.3069991458683852,5.2642387910725486,6.384790011350737,3.775775310286446,18.444948921679906,0.34615384615384615,0.4230769230769231,-5.265321815067394,16.152828003792955,,43580705.00928798,64.35555555555555,96.83057012007264,78.85304242102006,48.25204163296446,0.8051525373111815,50.99235215690872,17.885323513940033,2.8945371705054144,16.283893927259307,12.21292044544448,688.6002969818543
J. Cagulangan,UP,64.88888888888889,9.0,23.17037037037778,1.575529766319473,26.006132498247098,1.2307572572796042,0.9029934268860192,0.327763830393585,12.0,8.822222222222223,51.936264622831786,48.924731182795696,1.0387252924566357,0.15053763440860216,8.142128429913056,8.40036656144727,7.912404092069082,10.638570955056885,40.892675903397354,24.82856467249941,7.09238063670459,16.55237644833294,1.5,0.42857142857142855,0.0,27.074101697881044,,0.0,64.88888888888889,100.44354427335614,84.9055672617276,43.91197352063581,0.5789939677749572,46.73493514236062,9.949972206781545,1.5953226156035991,10.050572818543436,7.537929613907577,394.7898658328347
M. Tounkara,UST,60.4,10.0,28.47333333334,2.1247005888003985,25.81876439998057,1.2332409355222462,1.174785509875725,0.058455425646521314,17.3,10.929999999999996,58.13033850047453,55.65217391304348,1.1626067700094906,0.22608695652173913,15.455006633883839,9.153444178590199,22.07236492976167,2.062010023331725,8.825629363229448,6.856145599601097,4.31147550332997,14.335577162802293,0.4782608695652174,0.2608695652173913,-5.383805021384267,23.959239950469136,,10713445.32896026,59.721348314606736,104.30553527056652,94.81988228447254,48.45739184495627,0.6055190667093555,51.404993872929026,11.153846153846153,2.271513292703773,16.849703025597965,12.637277269198474,533.4600644776002
F. Padrigao,UST,59.72727272727273,11.0,26.725757575763637,0.9440510345745275,17.274592367462,0.5278208219270837,0.5499358560023838,-0.022115034075300105,10.0,6.50909090909091,43.11747478034494,41.30434782608695,0.8623494956068988,0.1565217391304348,6.559328760132306,1.6417475621889637,11.723349106947525,11.982781077816016,43.53483490878856,29.875067897881586,5.80983324985019,14.484881405033494,2.0625,0.46875,3.9940138685334143,24.056324252383853,,0.0,59.056179775280896,88.85742104067518,96.8818704590602,37.35700543640236,0.5587291743126305,42.74545641736655,7.222222222222222,1.6174289758856157,8.459598529868702,6.344698897401527,550.7903346593491
N. Cabanero,UST,59.0,11.0,29.457575757572727,1.9364652437322478,22.832020800027422,1.2071937252991696,1.3049601844239855,-0.09776645912481599,12.454545454545455,9.963636363636361,47.56811528934925,44.11764705882353,0.951362305786985,0.3660130718954248,9.00284607207856,5.957984826552964,12.200297175010904,3.45912300460499,14.385207481028372,9.969616407140144,1.976641716917137,5.6969236612229395,1.75,0.9166666666666666,0.6039365859743865,26.716819029337262,,1569012.9616296233,58.33707865168539,101.29365249569089,98.54669388614964,48.67525167482602,0.5209516012047537,48.83469143804209,8.931623931623932,1.9068701949840063,12.659573712624935,9.494680284468702,607.0902934658164
V. David,DLSU,57.0,11.0,21.51212121211818,1.1150006188073673,20.290987084673013,1.3134407225006517,0.8210916319452561,0.49234909055539544,11.909090909090908,6.7727272727272725,51.95214105793451,50.0,1.0390428211586902,0.13333333333333333,12.73597667456137,4.970607636616394,19.91617533693819,10.738737882892153,35.7508051650859,37.256690997566906,4.164000403570427,14.446472019464718,2.5789473684210527,0.5263157894736842,5.4907844752087325,14.889915734888335,,0.0,56.359550561797754,109.18907957618673,81.03521640528305,44.636278295781345,0.6591462729442881,46.95312142643068,9.958120055839926,1.8438864675725208,15.162763024073998,11.372072268055499,456.29198267388324
V. Pre,FEU,52.90909090909091,11.0,33.35757575758182,1.0020258424828525,16.308931531768263,0.851690441183176,0.590585069403013,0.26110537178016296,11.727272727272727,7.336363636363637,48.18523153942428,43.57142857142857,0.9637046307884856,0.32142857142857145,10.127213166582857,5.59758877738005,14.399774723521709,2.389199504534503,10.658602972958032,7.554296506137866,5.375698885202632,16.997167138810198,0.4444444444444444,0.05555555555555555,-6.857832938891129,24.644419246690074,,11202988.73546308,51.73333333333333,87.89575762149319,91.03964428293853,41.88661626733195,0.5265850951177149,47.025593034175344,9.836927932667017,1.8227327128355864,5.731498291697091,4.298623718772818,669.6803665676861
J. Figueroa,NU,52.18181818181818,11.0,30.30454545454546,0.7835993919672686,15.544868090158122,0.6992438231053865,0.3599833607840401,0.3392604623213464,11.272727272727273,6.281818181818182,45.78331794398276,41.73913043478261,0.9156663588796552,0.2956521739130435,10.835279131565809,4.764093005540806,16.958466851818006,5.089307880274991,20.812480164058492,15.819555011226779,5.7459927680524086,17.860787915901202,0.8857142857142857,0.3142857142857143,-4.362808987814627,22.48041558440786,,2831258.437078146,52.18181818181818,84.8651390847413,88.93217431065311,40.41614097445213,0.6387958007635625,45.64675519170376,10.01778304682869,1.769485340951125,8.273715903445588,6.205286927584191,609.1201540419476
F. Lopez,UP,52.18181818181818,11.0,19.354545454527273,1.7454714509617266,27.299086972458273,1.4171787830954212,0.8347983347158575,0.5823804483795638,11.909090909090908,7.763636363636365,60.373792524149515,60.0,1.2074758504829903,0.6133333333333333,13.215929752581417,3.3880294758596228,21.958666040415178,3.7215605300342034,14.609171460781537,11.257880516361453,5.706392812719112,17.262083458420893,0.6521739130434783,0.34782608695652173,-5.979971964172416,24.658563994716598,,27032409.58198876,52.18181818181818,102.01997685779982,76.44787134703193,50.23923162731302,0.773032741821965,57.451007691992146,10.839355197331852,1.8438864675725208,19.668251515751294,14.75118863681347,403.0567252351567
