PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Bahay,ADMU,23.313888888891668,3.3333333333333335,12.0,27.7777777778,2.0,4.833333333333333,41.3793103448,1.3333333333333333,7.166666666666667,18.6046511628,2.3333333333333335,3.5,66.6666666667,10.333333333333334,0.9166666666666666,2.0833333333333335,3.0,4.25,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.9166666666666667,3.3333333333333335,-4.75,3.0,12.0
S. Tuano,ADMU,19.422222222225,3.8333333333333335,8.0,47.9166666667,3.5833333333333335,6.583333333333333,54.4303797468,0.25,1.4166666666666667,17.6470588235,1.75,3.75,46.6666666667,9.666666666666666,1.3333333333333333,1.4166666666666667,2.75,0.75,2.0833333333333335,0.75,0.0,0.75,1.5833333333333333,2.6666666666666665,-2.8333333333333335,3.0,12.0
J. Lazaro,ADMU,22.196969696954543,3.0,8.272727272727273,36.2637362637,2.4545454545454546,6.818181818181818,36.0,0.5454545454545454,1.4545454545454546,37.5,0.8181818181818182,2.272727272727273,36.0,7.363636363636363,2.4545454545454546,3.6363636363636362,6.090909090909091,1.3636363636363635,1.2727272727272727,0.7272727272727273,0.36363636363636365,1.0909090909090908,2.1818181818181817,2.8181818181818183,-6.7272727272727275,2.0,11.0
K. Porter,ADMU,23.045833333333334,2.5,7.833333333333333,31.914893617,1.6666666666666667,4.5,37.037037037,0.8333333333333334,3.3333333333333335,25.0,1.0833333333333333,2.4166666666666665,44.8275862069,6.916666666666667,2.25,4.666666666666667,6.916666666666667,0.6666666666666666,0.75,0.9166666666666666,0.4166666666666667,1.3333333333333333,1.8333333333333333,1.5,-6.166666666666667,3.0,12.0
C. Koon,ADMU,24.44499999999,2.3,8.2,28.0487804878,1.2,4.0,30.0,1.1,4.2,26.1904761905,1.2,2.4,50.0,6.9,0.9,2.8,3.7,2.0,1.2,0.8,0.0,0.8,2.2,2.9,-5.9,3.0,10.0
A. Bongo,ADMU,19.747222222225002,1.75,6.333333333333333,27.6315789474,0.4166666666666667,1.75,23.8095238095,1.3333333333333333,4.583333333333333,29.0909090909,1.25,1.5,83.3333333333,6.083333333333333,1.0,2.5833333333333335,3.5833333333333335,1.4166666666666667,0.5833333333333334,0.75,0.16666666666666666,0.9166666666666666,1.9166666666666667,1.4166666666666667,-3.1666666666666665,3.0,12.0
I. Espinosa,ADMU,17.127777777774998,1.6666666666666667,4.583333333333333,36.3636363636,1.1666666666666667,2.75,42.4242424242,0.5,1.8333333333333333,27.2727272727,1.25,1.8333333333333333,68.1818181818,5.083333333333333,0.4166666666666667,2.5,2.9166666666666665,2.1666666666666665,0.9166666666666666,0.9166666666666666,0.25,1.1666666666666667,1.5,3.0833333333333335,-2.0833333333333335,3.0,12.0
A. Balogun,ADMU,10.995833333333332,0.75,2.5833333333333335,29.0322580645,0.75,2.25,33.3333333333,0.0,0.3333333333333333,0.0,1.5833333333333333,2.5,63.3333333333,3.0833333333333335,1.6666666666666667,1.9166666666666667,3.5833333333333335,0.16666666666666666,0.9166666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.8333333333333333,2.1666666666666665,-2.9166666666666665,3.0,12.0
S. Quitevis,ADMU,25.501388888891668,1.0,3.25,30.7692307692,0.6666666666666666,1.6666666666666667,40.0,0.3333333333333333,1.5833333333333333,21.0526315789,0.75,0.9166666666666666,81.8181818182,3.0833333333333335,0.5,1.5,2.0,2.0,0.6666666666666666,0.8333333333333334,0.0,0.8333333333333334,3.0,1.1666666666666667,-6.333333333333333,3.0,12.0
K. Gamber,ADMU,6.18,0.7,2.6,26.9230769231,0.0,0.6,0.0,0.7,2.0,35.0,0.1,0.1,100.0,2.2,0.0,0.7,0.7,0.3,0.6,0.0,0.0,0.0,0.5,0.1,-2.0,2.0,10.0
A. Dela Cruz,ADMU,5.9666666667,1.0,3.0,33.3333333333,1.0,3.0,33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
W. Espina,ADMU,7.581944444433333,0.5833333333333334,2.4166666666666665,24.1379310345,0.25,0.9166666666666666,27.2727272727,0.3333333333333333,1.5,22.2222222222,0.3333333333333333,0.5833333333333334,57.1428571429,1.8333333333333333,0.25,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5,0.4166666666666667,0.08333333333333333,0.5,1.0,0.3333333333333333,0.08333333333333333,3.0,12.0
K. Ong,ADMU,7.10625,0.625,1.0,62.5,0.625,1.0,62.5,0.0,0.0,0.0,0.25,0.75,33.3333333333,1.5,0.5,1.25,1.75,0.0,0.125,0.0,0.5,0.5,1.25,0.625,-0.375,1.0,8.0
F. Edu,ADMU,4.095238095242857,0.2857142857142857,0.5714285714285714,50.0,0.2857142857142857,0.42857142857142855,66.6666666667,0.0,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,25.0,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143,0.42857142857142855,1.1428571428571428,3.0,7.0
M. Asoro,ADMU,5.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0
M. Reyes,ADMU,5.277777777766667,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,1.0,3.0
