,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
R. Mantua,AdU,218.26666666659997,28.0,71.0,39.436619718309856,19.0,42.0,45.23809523809524,9.0,29.0,31.03448275862069,13.0,17.0,76.47058823529412,78.0,6.0,18.0,24.0,12.0,21.0,7.0,2.0,9.0,26.0,19.0,-16.0,6.0,14.0
J. Barcelona,AdU,20.9833333335,1.0,4.0,25.0,1.0,3.0,33.333333333333336,0.0,1.0,0.0,2.0,4.0,50.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,0.0,1.0,2.0,3.0,-10.0,3.0,7.0
J. Calisay,AdU,262.36666666659994,19.0,81.0,23.45679012345679,7.0,32.0,21.875,12.0,49.0,24.489795918367346,6.0,12.0,50.0,56.0,8.0,52.0,60.0,17.0,14.0,7.0,2.0,9.0,22.0,14.0,-17.0,6.0,14.0
M. Ojarikre,AdU,295.5333333334,17.0,36.0,47.22222222222222,17.0,36.0,47.22222222222222,0.0,0.0,0.0,9.0,27.0,33.333333333333336,43.0,48.0,68.0,116.0,2.0,22.0,2.0,30.0,32.0,26.0,26.0,-33.0,6.0,14.0
M. Erolon,AdU,228.3666666666,33.0,90.0,36.666666666666664,15.0,36.0,41.666666666666664,18.0,54.0,33.333333333333336,2.0,3.0,66.66666666666667,86.0,1.0,19.0,20.0,36.0,20.0,12.0,0.0,12.0,19.0,18.0,43.0,6.0,13.0
M. Montebon,AdU,291.58333333329995,41.0,119.0,34.45378151260504,20.0,56.0,35.714285714285715,21.0,63.0,33.333333333333336,26.0,36.0,72.22222222222223,129.0,4.0,35.0,39.0,35.0,30.0,17.0,3.0,20.0,21.0,34.0,-59.0,6.0,14.0
J. Yerro,AdU,309.78333333330005,24.0,85.0,28.235294117647058,16.0,39.0,41.02564102564103,8.0,46.0,17.391304347826086,11.0,17.0,64.70588235294117,67.0,8.0,29.0,37.0,22.0,24.0,8.0,0.0,8.0,30.0,15.0,-19.0,6.0,14.0
E. Ramos,AdU,122.01666666670002,10.0,31.0,32.25806451612903,9.0,27.0,33.333333333333336,1.0,4.0,25.0,3.0,8.0,37.5,24.0,8.0,10.0,18.0,4.0,7.0,3.0,1.0,4.0,16.0,18.0,-59.0,6.0,13.0
F. Dignadice,AdU,17.216666666800002,3.0,7.0,42.857142857142854,2.0,3.0,66.66666666666667,1.0,4.0,25.0,0.0,2.0,0.0,7.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,-14.0,4.0,9.0
A. Fransman,AdU,276.3333333332,41.0,126.0,32.53968253968254,21.0,60.0,35.0,20.0,66.0,30.303030303030305,11.0,16.0,68.75,113.0,19.0,78.0,97.0,14.0,26.0,12.0,6.0,18.0,16.0,15.0,-47.0,6.0,14.0
A. Ignacio,AdU,24.5333333334,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,2.0,2.0,100.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,-26.0,5.0,10.0
M. Barasi Jr,AdU,132.8499999999,2.0,17.0,11.764705882352942,2.0,17.0,11.764705882352942,0.0,0.0,0.0,7.0,9.0,77.77777777777777,11.0,5.0,18.0,23.0,6.0,8.0,1.0,1.0,2.0,15.0,12.0,-19.0,6.0,13.0
C. Manzano,AdU,315.0999999999999,42.0,104.0,40.38461538461539,42.0,104.0,40.38461538461539,0.0,0.0,0.0,33.0,47.0,70.2127659574468,117.0,48.0,56.0,104.0,25.0,42.0,10.0,12.0,22.0,38.0,46.0,28.0,6.0,14.0
A. Ronzone,AdU,37.7833333334,1.0,6.0,16.666666666666668,1.0,6.0,16.666666666666668,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,6.0,5.0,1.0,2.0,0.0,2.0,4.0,2.0,-14.0,4.0,9.0
M. Anabo,AdU,196.85,16.0,56.0,28.571428571428573,7.0,17.0,41.1764705882353,9.0,39.0,23.076923076923077,13.0,24.0,54.166666666666664,54.0,5.0,29.0,34.0,13.0,9.0,6.0,0.0,6.0,11.0,18.0,-19.0,6.0,14.0
C. Alexander,AdU,73.95000000009999,2.0,9.0,22.22222222222222,0.0,1.0,0.0,2.0,8.0,25.0,1.0,2.0,50.0,7.0,3.0,6.0,9.0,6.0,15.0,1.0,0.0,1.0,9.0,1.0,-4.0,4.0,11.0
