,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
I. Phillips,DLSU,5.0333333333,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
L. Ramiro,DLSU,214.8166666668,11.0,45.0,24.444444444444443,5.0,24.0,20.833333333333332,6.0,21.0,28.571428571428573,5.0,8.0,62.5,33.0,4.0,30.0,34.0,26.0,19.0,4.0,4.0,8.0,23.0,12.0,-10.0,12.0,14.0
V. Marasigan,DLSU,153.0999999999,22.0,58.0,37.93103448275862,17.0,42.0,40.476190476190474,5.0,16.0,31.25,15.0,25.0,60.0,64.0,9.0,20.0,29.0,6.0,12.0,6.0,1.0,7.0,29.0,23.0,36.0,12.0,14.0
V. David,DLSU,318.3,30.0,90.0,33.333333333333336,13.0,37.0,35.13513513513514,17.0,53.0,32.075471698113205,7.0,10.0,70.0,84.0,15.0,66.0,81.0,59.0,30.0,14.0,0.0,14.0,23.0,13.0,133.0,12.0,14.0
A. Konov,DLSU,42.8,2.0,9.0,22.22222222222222,0.0,1.0,0.0,2.0,8.0,25.0,0.0,0.0,0.0,6.0,2.0,5.0,7.0,3.0,4.0,0.0,0.0,0.0,4.0,2.0,-12.0,7.0,8.0
R. Gonzales,DLSU,162.05,33.0,54.0,61.111111111111114,31.0,50.0,62.0,2.0,4.0,50.0,11.0,16.0,68.75,79.0,19.0,31.0,50.0,11.0,15.0,11.0,7.0,18.0,22.0,11.0,39.0,12.0,14.0
E. Gollena,DLSU,224.01666666670002,22.0,54.0,40.74074074074074,14.0,27.0,51.851851851851855,8.0,27.0,29.62962962962963,23.0,28.0,82.14285714285714,75.0,17.0,13.0,30.0,11.0,10.0,6.0,2.0,8.0,25.0,27.0,52.0,12.0,14.0
D. Dungo,DLSU,133.1666666665,16.0,43.0,37.2093023255814,8.0,20.0,40.0,8.0,23.0,34.78260869565217,14.0,16.0,87.5,54.0,6.0,15.0,21.0,18.0,11.0,3.0,2.0,5.0,10.0,12.0,48.0,11.0,13.0
K. Quiambao,DLSU,424.28333333340004,80.0,213.0,37.55868544600939,49.0,112.0,43.75,31.0,101.0,30.693069306930692,42.0,54.0,77.77777777777777,233.0,23.0,98.0,121.0,57.0,39.0,14.0,3.0,17.0,13.0,55.0,148.0,12.0,14.0
M. Rubico,DLSU,21.449999999899994,1.0,3.0,33.333333333333336,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,5.0,1.0,0.0,1.0,4.0,1.0,6.0,6.0,6.0
C. Austria,DLSU,150.4833333332,12.0,37.0,32.432432432432435,11.0,28.0,39.285714285714285,1.0,9.0,11.11111111111111,6.0,11.0,54.54545454545455,31.0,10.0,10.0,20.0,25.0,19.0,3.0,1.0,4.0,11.0,12.0,-10.0,9.0,10.0
H. Agunanne,DLSU,202.7166666666,31.0,72.0,43.05555555555556,30.0,66.0,45.45454545454545,1.0,6.0,16.666666666666668,9.0,23.0,39.130434782608695,72.0,36.0,44.0,80.0,7.0,29.0,5.0,5.0,10.0,30.0,28.0,16.0,12.0,14.0
E. Alian,DLSU,15.516666666699999,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,3.0
M. Phillips,DLSU,319.73333333320005,63.0,136.0,46.3235294117647,60.0,118.0,50.847457627118644,3.0,18.0,16.666666666666668,39.0,78.0,50.0,168.0,64.0,98.0,162.0,32.0,40.0,24.0,15.0,39.0,31.0,64.0,81.0,12.0,14.0
J. Macalalag,DLSU,285.8666666667,36.0,75.0,48.0,25.0,49.0,51.02040816326531,11.0,26.0,42.30769230769231,8.0,14.0,57.142857142857146,91.0,13.0,14.0,27.0,19.0,17.0,4.0,4.0,8.0,19.0,14.0,120.0,12.0,14.0
E. Abadam,DLSU,150.3833333332,15.0,44.0,34.09090909090909,10.0,22.0,45.45454545454545,5.0,22.0,22.727272727272727,6.0,11.0,54.54545454545455,41.0,7.0,11.0,18.0,10.0,9.0,3.0,1.0,4.0,17.0,8.0,68.0,8.0,9.0
