PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
K. Quiambao,DLSU,29.916666666675,5.916666666666667,15.166666666666666,39.010989011,3.5833333333333335,8.166666666666666,43.8775510204,2.3333333333333335,7.0,33.3333333333,3.5,4.5,77.7777777778,17.666666666666668,1.6666666666666667,7.416666666666667,9.083333333333334,4.083333333333333,3.0833333333333335,1.0,0.25,1.25,1.0833333333333333,4.25,12.333333333333334,11.0,12.0
M. Phillips,DLSU,22.862499999991666,4.25,9.416666666666666,45.1327433628,4.0,7.916666666666667,50.5263157895,0.25,1.5,16.6666666667,2.5833333333333335,5.0,51.6666666667,11.333333333333334,4.416666666666667,7.416666666666667,11.833333333333334,2.4166666666666665,2.8333333333333335,1.8333333333333333,1.1666666666666667,3.0,2.5,4.25,5.75,11.0,12.0
J. Macalalag,DLSU,20.040277777783334,2.6666666666666665,5.666666666666667,47.0588235294,1.8333333333333333,3.5833333333333335,51.1627906977,0.8333333333333334,2.0833333333333335,40.0,0.5,0.8333333333333334,60.0,6.666666666666667,1.0833333333333333,1.0833333333333333,2.1666666666666665,1.3333333333333333,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,10.25,11.0,12.0
V. David,DLSU,22.127777777774998,2.0,5.833333333333333,34.2857142857,0.75,2.3333333333333335,32.1428571429,1.25,3.5,35.7142857143,0.5,0.6666666666666666,75.0,5.75,1.0833333333333333,4.666666666666667,5.75,4.5,1.75,0.8333333333333334,0.0,0.8333333333333334,1.6666666666666667,0.75,12.0,11.0,12.0
E. Gollena,DLSU,16.058333333333334,1.6666666666666667,4.0,41.6666666667,1.0,2.0833333333333335,48.0,0.6666666666666666,1.9166666666666667,34.7826086957,1.75,2.1666666666666665,80.76923076919999,5.75,1.3333333333333333,1.0,2.3333333333333335,0.75,0.6666666666666666,0.5,0.08333333333333333,0.5833333333333334,1.9166666666666667,1.9166666666666667,4.083333333333333,11.0,12.0
R. Gonzales,DLSU,11.894444444441667,2.1666666666666665,3.8333333333333335,56.5217391304,2.0,3.5,57.1428571429,0.16666666666666666,0.3333333333333333,50.0,0.75,1.0,75.0,5.25,1.0833333333333333,2.0833333333333335,3.1666666666666665,0.8333333333333334,1.0833333333333333,0.9166666666666666,0.5833333333333334,1.5,1.5833333333333333,0.5833333333333334,3.4166666666666665,11.0,12.0
V. Marasigan,DLSU,11.174999999991668,1.75,4.333333333333333,40.384615384599996,1.3333333333333333,3.1666666666666665,42.1052631579,0.4166666666666667,1.1666666666666667,35.7142857143,1.1666666666666667,1.9166666666666667,60.8695652174,5.083333333333333,0.75,1.5833333333333333,2.3333333333333335,0.5,0.9166666666666666,0.4166666666666667,0.08333333333333333,0.5,2.25,1.75,3.25,11.0,12.0
H. Agunanne,DLSU,13.638888888883335,2.0,4.833333333333333,41.3793103448,1.9166666666666667,4.333333333333333,44.2307692308,0.08333333333333333,0.5,16.6666666667,0.75,1.6666666666666667,45.0,4.833333333333333,2.1666666666666665,2.9166666666666665,5.083333333333333,0.4166666666666667,2.25,0.3333333333333333,0.4166666666666667,0.75,1.8333333333333333,1.75,2.3333333333333335,11.0,12.0
E. Abadam,DLSU,16.709259259244444,1.6666666666666667,4.888888888888889,34.0909090909,1.1111111111111112,2.4444444444444446,45.4545454545,0.5555555555555556,2.4444444444444446,22.7272727273,0.6666666666666666,1.2222222222222223,54.5454545455,4.555555555555555,0.7777777777777778,1.2222222222222223,2.0,1.1111111111111112,1.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,1.8888888888888888,0.8888888888888888,7.555555555555555,8.0,9.0
D. Dungo,DLSU,10.722727272718181,1.3636363636363635,3.4545454545454546,39.4736842105,0.6363636363636364,1.4545454545454546,43.75,0.7272727272727273,2.0,36.3636363636,1.0,1.0909090909090908,91.6666666667,4.454545454545454,0.5454545454545454,1.0909090909090908,1.6363636363636365,1.2727272727272727,0.9090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.9090909090909091,0.9090909090909091,2.6363636363636362,10.0,11.0
