,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Daa,FEU,185.61666666669998,13.0,54.0,24.074074074074073,11.0,29.0,37.93103448275862,2.0,25.0,8.0,1.0,2.0,50.0,29.0,4.0,13.0,17.0,11.0,16.0,7.0,1.0,8.0,23.0,8.0,-13.0,4.0,11.0
J. Pasaol,FEU,256.0833333334,27.0,91.0,29.67032967032967,21.0,66.0,31.818181818181817,6.0,25.0,24.0,19.0,32.0,59.375,79.0,5.0,36.0,41.0,30.0,24.0,14.0,0.0,14.0,19.0,29.0,-75.0,4.0,11.0
A. Bagunu,FEU,58.4333333333,3.0,13.0,23.076923076923077,2.0,9.0,22.22222222222222,1.0,4.0,25.0,5.0,5.0,100.0,12.0,3.0,8.0,11.0,2.0,5.0,1.0,1.0,2.0,6.0,7.0,-4.0,1.0,8.0
M. Ona,FEU,78.7500000001,3.0,11.0,27.272727272727273,3.0,9.0,33.333333333333336,0.0,2.0,0.0,3.0,5.0,60.0,9.0,7.0,11.0,18.0,2.0,1.0,0.0,1.0,1.0,21.0,5.0,-9.0,4.0,11.0
J. Bautista,FEU,321.09999999990004,55.0,160.0,34.375,37.0,92.0,40.21739130434783,18.0,68.0,26.470588235294116,22.0,27.0,81.48148148148148,150.0,6.0,36.0,42.0,19.0,12.0,14.0,0.0,14.0,16.0,29.0,15.0,4.0,11.0
N. Duque,FEU,0.4666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
R. Montemayor,FEU,163.3500000001,13.0,44.0,29.545454545454547,9.0,18.0,50.0,4.0,26.0,15.384615384615385,3.0,3.0,100.0,33.0,9.0,13.0,22.0,3.0,5.0,1.0,3.0,4.0,11.0,1.0,16.0,4.0,10.0
C. Anonuevo,FEU,110.1666666667,6.0,25.0,24.0,4.0,10.0,40.0,2.0,15.0,13.333333333333334,2.0,4.0,50.0,16.0,6.0,19.0,25.0,9.0,14.0,8.0,2.0,10.0,11.0,8.0,-33.0,3.0,6.0
R. Alforque,FEU,249.3333333331,28.0,74.0,37.83783783783784,25.0,62.0,40.32258064516129,3.0,12.0,25.0,19.0,31.0,61.29032258064516,78.0,18.0,41.0,59.0,32.0,21.0,11.0,0.0,11.0,18.0,41.0,5.0,4.0,11.0
V. Pre,FEU,366.93333333339996,57.0,140.0,40.714285714285715,49.0,108.0,45.370370370370374,8.0,32.0,25.0,32.0,45.0,71.11111111111111,154.0,22.0,60.0,82.0,16.0,36.0,2.0,7.0,9.0,21.0,34.0,-46.0,4.0,11.0
J. Jones,FEU,6.7333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-15.0,2.0,4.0
M. Konateh,FEU,377.29999999989997,42.0,91.0,46.15384615384615,42.0,90.0,46.666666666666664,0.0,1.0,0.0,23.0,34.0,67.6470588235294,107.0,58.0,112.0,170.0,9.0,26.0,11.0,28.0,39.0,26.0,43.0,4.0,4.0,11.0
A. Nakai,FEU,74.86666666650001,7.0,23.0,30.434782608695652,4.0,8.0,50.0,3.0,15.0,20.0,2.0,6.0,33.333333333333336,19.0,3.0,9.0,12.0,1.0,3.0,2.0,0.0,2.0,10.0,5.0,-25.0,4.0,11.0
