,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
K. Padrones,NU,214.1166666666,25.0,49.0,51.02040816326531,22.0,41.0,53.65853658536585,3.0,8.0,37.5,10.0,20.0,50.0,63.0,29.0,30.0,59.0,6.0,13.0,3.0,8.0,11.0,28.0,20.0,-47.0,3.0,11.0
K. Perciano,NU,85.0666666668,14.0,29.0,48.275862068965516,14.0,29.0,48.275862068965516,0.0,0.0,0.0,1.0,2.0,50.0,29.0,3.0,11.0,14.0,1.0,7.0,1.0,1.0,2.0,19.0,3.0,-31.0,3.0,11.0
S. Enriquez,NU,196.93333333340001,22.0,61.0,36.0655737704918,8.0,24.0,33.333333333333336,14.0,37.0,37.83783783783784,13.0,16.0,81.25,71.0,5.0,13.0,18.0,25.0,14.0,10.0,1.0,11.0,9.0,16.0,17.0,3.0,11.0
N. Tulabut,NU,51.0000000001,6.0,13.0,46.15384615384615,5.0,8.0,62.5,1.0,5.0,20.0,0.0,1.0,0.0,13.0,6.0,8.0,14.0,6.0,4.0,2.0,1.0,3.0,6.0,2.0,-14.0,2.0,8.0
M. Diassana,NU,4.0666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0
J. Figueroa,NU,333.35,45.0,115.0,39.130434782608695,39.0,87.0,44.827586206896555,6.0,28.0,21.428571428571427,23.0,34.0,67.6470588235294,119.0,17.0,60.0,77.0,31.0,35.0,11.0,2.0,13.0,30.0,44.0,-28.0,3.0,11.0
B. Parks,NU,35.016666666700004,2.0,6.0,33.333333333333336,2.0,4.0,50.0,0.0,2.0,0.0,2.0,4.0,50.0,6.0,3.0,6.0,9.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,13.0,3.0,9.0
R. Jumamoy,NU,147.2833333334,17.0,79.0,21.518987341772153,7.0,36.0,19.444444444444443,10.0,43.0,23.25581395348837,12.0,13.0,92.3076923076923,56.0,6.0,10.0,16.0,15.0,15.0,8.0,1.0,9.0,13.0,21.0,-27.0,3.0,11.0
D. Lim,NU,152.04999999999998,9.0,37.0,24.324324324324323,3.0,16.0,18.75,6.0,21.0,28.571428571428573,4.0,6.0,66.66666666666667,28.0,2.0,21.0,23.0,4.0,3.0,5.0,0.0,5.0,19.0,9.0,-33.0,3.0,11.0
E. Dela Cruz,NU,35.5166666667,2.0,7.0,28.571428571428573,2.0,7.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,9.0,4.0,2.0,1.0,0.0,1.0,11.0,0.0,-15.0,2.0,10.0
J. Garcia,NU,22.9,3.0,10.0,30.0,3.0,10.0,30.0,0.0,0.0,0.0,1.0,2.0,50.0,7.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0
P. Palacielo,NU,217.95,33.0,88.0,37.5,33.0,86.0,38.372093023255815,0.0,2.0,0.0,7.0,16.0,43.75,73.0,19.0,45.0,64.0,10.0,18.0,7.0,8.0,15.0,36.0,19.0,2.0,3.0,11.0
P. Yu,NU,146.8666666667,9.0,41.0,21.951219512195124,3.0,12.0,25.0,6.0,29.0,20.689655172413794,7.0,11.0,63.63636363636363,31.0,8.0,16.0,24.0,11.0,5.0,1.0,0.0,1.0,9.0,7.0,-6.0,3.0,11.0
T. Garcia,NU,96.45,14.0,29.0,48.275862068965516,14.0,28.0,50.0,0.0,1.0,0.0,13.0,21.0,61.904761904761905,41.0,2.0,6.0,8.0,12.0,16.0,2.0,0.0,2.0,20.0,14.0,-30.0,2.0,9.0
P. Francisco,NU,109.68333333319998,15.0,42.0,35.714285714285715,9.0,20.0,45.0,6.0,22.0,27.272727272727273,0.0,0.0,0.0,36.0,8.0,8.0,16.0,6.0,6.0,8.0,2.0,10.0,10.0,5.0,2.0,3.0,11.0
G. Santiago,NU,100.2166666667,6.0,28.0,21.428571428571427,2.0,10.0,20.0,4.0,18.0,22.22222222222222,14.0,19.0,73.6842105263158,30.0,7.0,16.0,23.0,2.0,4.0,4.0,1.0,5.0,15.0,16.0,5.0,3.0,11.0
I. Manansala,NU,250.33333333320002,34.0,87.0,39.08045977011494,32.0,69.0,46.3768115942029,2.0,18.0,11.11111111111111,24.0,34.0,70.58823529411765,94.0,24.0,43.0,67.0,12.0,14.0,9.0,0.0,9.0,22.0,38.0,20.0,3.0,11.0
