,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
R. Finney,UE,2.1833333334000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
R. Go,UE,19.8000000001,2.0,3.0,66.66666666666667,2.0,3.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-17.0,2.0,5.0
N. Mulingtapang,UE,142.3666666666,7.0,33.0,21.21212121212121,6.0,21.0,28.571428571428573,1.0,12.0,8.333333333333334,11.0,14.0,78.57142857142857,26.0,2.0,6.0,8.0,19.0,10.0,3.0,0.0,3.0,15.0,16.0,-6.0,6.0,14.0
P. Momowei,UE,449.95000000000005,59.0,151.0,39.0728476821192,57.0,142.0,40.140845070422536,2.0,9.0,22.22222222222222,46.0,103.0,44.66019417475728,166.0,45.0,134.0,179.0,21.0,57.0,16.0,11.0,27.0,39.0,112.0,-3.0,6.0,13.0
J. Jimenez,UE,14.0833333334,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,-6.0,3.0,3.0
R. Malaga III,UE,48.1000000001,2.0,9.0,22.22222222222222,2.0,7.0,28.571428571428573,0.0,2.0,0.0,5.0,6.0,83.33333333333333,9.0,3.0,5.0,8.0,1.0,2.0,1.0,1.0,2.0,17.0,5.0,-14.0,3.0,9.0
K. Spandonis,UE,31.5,2.0,8.0,25.0,0.0,2.0,0.0,2.0,6.0,33.333333333333336,3.0,5.0,60.0,9.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,6.0,2.0,-9.0,4.0,8.0
D. Fikes,UE,267.33333333310003,31.0,82.0,37.80487804878049,21.0,37.0,56.75675675675676,10.0,45.0,22.22222222222222,16.0,25.0,64.0,88.0,23.0,33.0,56.0,16.0,26.0,7.0,6.0,13.0,40.0,28.0,-23.0,6.0,14.0
D. Robles,UE,7.8666666668,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,5.0
E. Galang,UE,315.5666666667,24.0,92.0,26.08695652173913,7.0,25.0,28.0,17.0,67.0,25.37313432835821,11.0,17.0,64.70588235294117,76.0,6.0,36.0,42.0,16.0,12.0,10.0,8.0,18.0,35.0,17.0,-16.0,5.0,13.0
H. Cruz-Dumont,UE,67.4333333333,1.0,7.0,14.285714285714286,1.0,7.0,14.285714285714286,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,14.0,18.0,4.0,7.0,1.0,0.0,1.0,15.0,4.0,-17.0,3.0,11.0
J. Abate,UE,325.15,39.0,95.0,41.05263157894737,28.0,61.0,45.90163934426229,11.0,34.0,32.35294117647059,20.0,27.0,74.07407407407408,109.0,17.0,30.0,47.0,29.0,24.0,9.0,2.0,11.0,33.0,29.0,-29.0,6.0,14.0
R. Maga,UE,308.0666666666,46.0,111.0,41.44144144144144,33.0,78.0,42.30769230769231,13.0,33.0,39.39393939393939,7.0,11.0,63.63636363636363,112.0,14.0,26.0,40.0,15.0,22.0,6.0,4.0,10.0,21.0,15.0,-1.0,6.0,14.0
G. Wilson,UE,172.56666666659996,22.0,53.0,41.509433962264154,18.0,40.0,45.0,4.0,13.0,30.76923076923077,15.0,19.0,78.94736842105263,63.0,6.0,7.0,13.0,20.0,17.0,7.0,1.0,8.0,7.0,18.0,-14.0,6.0,14.0
J. Cruz-Dumont,UE,284.63333333319997,27.0,83.0,32.53012048192771,15.0,48.0,31.25,12.0,35.0,34.285714285714285,21.0,23.0,91.30434782608695,87.0,9.0,33.0,42.0,29.0,10.0,12.0,3.0,15.0,23.0,18.0,-56.0,6.0,14.0
W. Lingolingo,UE,342.18333333329997,41.0,115.0,35.65217391304348,20.0,42.0,47.61904761904762,21.0,73.0,28.767123287671232,21.0,25.0,84.0,124.0,24.0,47.0,71.0,11.0,14.0,17.0,2.0,19.0,37.0,26.0,37.0,6.0,14.0
