PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
P. Momowei,UE,34.61153846153846,3.9337704189354374,10.06778530947883,39.0728476821,3.800422269141016,9.467718635403934,40.1408450704,0.1333481497944216,0.6000666740748972,22.2222222222,3.067007445271697,6.8674297144127125,44.6601941748,11.067896432936992,3.000333370374486,8.934326036226247,11.934659406600733,1.4001555728414268,3.800422269141016,1.0667851983553729,0.7334148238693188,1.8002000222246917,2.6002889209912214,7.467496388487611,-0.2000222246916324,6.0,13.0
G. Wilson,UE,12.326190476185715,3.8246088468239616,9.21383040371227,41.5094339623,3.1292254201286953,6.953834266952657,45.0,0.6953834266952656,2.2599961367596135,30.7692307692,2.6076878501072462,3.303071276802512,78.9473684211,10.952288970450434,1.0430751400428984,1.216920996716715,2.2599961367596135,3.4769171334763285,2.955379563454879,1.216920996716715,0.1738458566738164,1.3907668533905313,1.216920996716715,3.1292254201286953,-2.43384199343343,6.0,14.0
R. Maga,UE,22.004761904757142,4.479549880979112,10.809348625840903,41.4414414414,3.213590132006755,7.595758493834147,42.3076923077,1.265959748972358,3.213590132006755,39.3939393939,0.681670634062039,1.0711967106689182,63.6363636364,10.906730144992624,1.363341268124078,2.531919497944716,3.8952607660687937,1.4607227872757977,2.1423934213378364,0.584289114910319,0.3895260766068794,0.9738151915171984,2.0450119021861166,1.4607227872757977,-0.09738151915171984,6.0,14.0
W. Lingolingo,UE,24.441666666664286,3.5945643173740773,10.082314548732167,35.652173913,1.7534460084751597,3.682236617797835,47.619047619,1.8411183088989176,6.400077930934333,28.7671232877,1.8411183088989176,2.1918075105939496,84.0,10.87136525254599,2.104135210170192,4.120598119916625,6.224733330086817,0.9643953046613378,1.2274122059326118,1.4904291072038858,0.175344600847516,1.6657737080514017,3.2438751156790455,2.279479811017708,3.2438751156790455,6.0,14.0
J. Abate,UE,23.224999999999998,3.598339228048593,8.765185299092726,41.0526315789,2.583423035522067,5.628171613101646,45.9016393443,1.0149161925265262,3.1370136859910813,32.3529411765,1.845302168230048,2.4911579271105646,74.0740740741,10.056896816853762,1.5685068429955407,2.7679532523450714,4.3364600953406125,2.6756881439335696,2.2143626018760574,0.8303859757035215,0.1845302168230048,1.0149161925265262,3.0447485775795786,2.6756881439335696,-2.6756881439335696,6.0,14.0
D. Fikes,UE,19.095238095221426,3.47880299252174,9.20199501247686,37.8048780488,2.35660847880505,4.152119700751753,56.7567567568,1.1221945137166904,5.049875311725106,22.2222222222,1.7955112219467044,2.805486284291726,64.0,9.875311720706875,2.581047381548388,3.7032418952650783,6.284289276813466,1.7955112219467044,2.917705735663395,0.7855361596016832,0.6733167082300142,1.4588528678316974,4.488778054866762,3.142144638406733,-2.581047381548388,6.0,14.0
J. Cruz-Dumont,UE,20.330952380942858,2.8457664831960865,8.748096966862043,32.5301204819,1.5809813795533814,5.05914041457082,31.25,1.264785103642705,3.688956552291223,34.2857142857,2.2133739313747336,2.4241714486485177,91.3043478261,9.169692001409611,0.9485888277320287,3.478159035017439,4.426747862749467,3.0565640004698706,1.0539875863689208,1.264785103642705,0.3161962759106762,1.5809813795533814,2.4241714486485177,1.8971776554640574,-5.902330483665957,6.0,14.0
K. Spandonis,UE,3.9375,1.9047619047619047,7.619047619047619,25.0,0.0,1.9047619047619047,0.0,1.9047619047619047,5.7142857142857135,33.3333333333,2.8571428571428568,4.761904761904762,60.0,8.571428571428571,0.9523809523809523,0.9523809523809523,1.9047619047619047,0.9523809523809523,0.0,0.9523809523809523,0.0,0.9523809523809523,5.7142857142857135,1.9047619047619047,-8.571428571428571,4.0,8.0
D. Robles,UE,1.5733333333600001,3.8135593219692616,7.627118643938523,50.0,3.8135593219692616,7.627118643938523,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.627118643938523,3.8135593219692616,0.0,3.8135593219692616,0.0,0.0,0.0,3.8135593219692616,3.8135593219692616,0.0,0.0,7.627118643938523,3.0,5.0
E. Galang,UE,24.274358974361537,2.2816098024715035,8.746170909474095,26.0869565217,0.665469525720855,2.3766768775744826,28.0,1.616140276750648,6.369494031899613,25.3731343284,1.0457378261327723,1.616140276750648,64.7058823529,7.225097707826427,0.5704024506178759,3.4224147037072545,3.9928171543251305,1.5210732016476687,1.1408049012357517,0.950670751029793,0.7605366008238343,1.7112073518536273,3.3273476286042754,1.616140276750648,-1.5210732016476687,5.0,13.0
