PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
P. Momowei,UE,35.27833333334,4.5,11.5,39.1304347826,4.4,11.0,40.0,0.1,0.5,20.0,4.0,8.8,45.4545454545,13.1,3.2,10.4,13.6,1.8,4.8,1.2,1.0,2.2,2.8,9.3,2.6,6.0,10.0
W. Lingolingo,UE,23.19666666667,3.0,7.8,38.4615384615,1.1,2.4,45.8333333333,1.9,5.4,35.1851851852,1.3,1.5,86.6666666667,9.2,1.2,3.1,4.3,0.6,0.8,1.7,0.1,1.8,2.5,1.6,3.2,6.0,10.0
J. Abate,UE,24.744999999999997,2.9,7.1,40.8450704225,2.1,4.6,45.652173913,0.8,2.5,32.0,1.7,2.3,73.9130434783,8.3,1.2,2.6,3.8,1.9,1.5,0.5,0.1,0.6,2.5,1.9,-1.0,6.0,10.0
E. Galang,UE,25.005555555566666,2.4444444444444446,7.333333333333333,33.3333333333,0.7777777777777778,2.111111111111111,36.8421052632,1.6666666666666667,5.222222222222222,31.914893617,0.6666666666666666,0.8888888888888888,75.0,7.222222222222222,0.3333333333333333,2.7777777777777777,3.111111111111111,1.3333333333333333,0.8888888888888888,1.1111111111111112,0.5555555555555556,1.6666666666666667,2.5555555555555554,1.4444444444444444,0.2222222222222222,5.0,9.0
R. Maga,UE,19.13666666666,2.8,6.6,42.4242424242,2.1,5.0,42.0,0.7,1.6,43.75,0.2,0.2,100.0,6.5,0.6,1.3,1.9,1.3,1.3,0.6,0.2,0.8,1.4,0.8,0.6,6.0,10.0
D. Fikes,UE,18.17999999998,2.0,5.4,37.037037037,1.3,2.3,56.5217391304,0.7,3.1,22.5806451613,1.0,1.7,58.8235294118,5.7,1.2,2.1,3.3,1.2,1.8,0.6,0.4,1.0,2.6,1.5,-1.0,6.0,10.0
G. Wilson,UE,12.13666666666,1.8,3.9,46.1538461538,1.5,2.9,51.724137931,0.3,1.0,30.0,1.4,1.8,77.7777777778,5.3,0.4,0.7,1.1,1.2,1.2,0.5,0.0,0.5,0.4,1.3,1.2,6.0,10.0
J. Cruz-Dumont,UE,18.80166666666,1.3,4.6,28.2608695652,0.5,2.4,20.8333333333,0.8,2.2,36.3636363636,1.0,1.2,83.3333333333,4.4,0.7,2.7,3.4,1.9,0.7,0.7,0.3,1.0,1.5,1.0,-5.4,6.0,10.0
N. Mulingtapang,UE,12.08833333333,0.6,2.2,27.2727272727,0.5,1.4,35.7142857143,0.1,0.8,12.5,1.1,1.4,78.5714285714,2.4,0.2,0.5,0.7,1.8,0.9,0.3,0.0,0.3,1.1,1.6,0.8,6.0,10.0
R. Malaga III,UE,4.916666666685714,0.2857142857142857,1.0,28.5714285714,0.2857142857142857,0.7142857142857143,40.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,100.0,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,2.142857142857143,0.2857142857142857,-1.2857142857142858,3.0,7.0
K. Spandonis,UE,3.75,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.5,0.8333333333333334,60.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,4.0,6.0
D. Robles,UE,1.5733333333600001,0.2,0.4,50.0,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,3.0,5.0
H. Cruz-Dumont,UE,6.5238095238,0.0,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.8571428571428571,1.1428571428571428,0.2857142857142857,1.0,0.14285714285714285,0.0,0.14285714285714285,1.8571428571428572,0.14285714285714285,-1.0,3.0,7.0
J. Jimenez,UE,4.694444444466667,0.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,-2.0,3.0,3.0
R. Go,UE,2.92083333335,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-3.25,2.0,4.0
R. Finney,UE,1.0916666667000001,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,1.0,2.0
