,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
R. Torres,UP,144.3833333334,12.0,43.0,27.906976744186046,11.0,28.0,39.285714285714285,1.0,15.0,6.666666666666667,10.0,12.0,83.33333333333333,35.0,8.0,13.0,21.0,21.0,13.0,7.0,0.0,7.0,17.0,10.0,1.0,8.0,10.0
C. Briones,UP,68.3833333334,5.0,20.0,25.0,3.0,7.0,42.857142857142854,2.0,13.0,15.384615384615385,1.0,2.0,50.0,13.0,2.0,10.0,12.0,5.0,3.0,1.0,0.0,1.0,5.0,2.0,-37.0,8.0,9.0
S. Alter,UP,37.35,4.0,11.0,36.36363636363637,4.0,9.0,44.44444444444444,0.0,2.0,0.0,0.0,2.0,0.0,8.0,6.0,8.0,14.0,0.0,2.0,1.0,0.0,1.0,8.0,2.0,-2.0,7.0,8.0
D. Ududo,UP,95.48333333329998,13.0,32.0,40.625,13.0,32.0,40.625,0.0,0.0,0.0,11.0,23.0,47.82608695652174,37.0,20.0,14.0,34.0,1.0,12.0,1.0,4.0,5.0,23.0,23.0,14.0,9.0,11.0
D. Walker,UP,21.5333333333,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,-17.0,5.0,5.0
Q. Millora-Brown,UP,241.8166666667,35.0,63.0,55.55555555555556,34.0,58.0,58.62068965517241,1.0,5.0,20.0,18.0,27.0,66.66666666666667,89.0,33.0,65.0,98.0,7.0,18.0,4.0,16.0,20.0,21.0,44.0,77.0,9.0,11.0
J. Felicilda,UP,140.9833333333,12.0,31.0,38.70967741935484,8.0,19.0,42.10526315789474,4.0,12.0,33.333333333333336,1.0,4.0,25.0,29.0,3.0,21.0,24.0,13.0,10.0,5.0,0.0,5.0,14.0,5.0,44.0,8.0,9.0
F. Lopez,UP,212.89999999979997,42.0,75.0,56.0,36.0,52.0,69.23076923076923,6.0,23.0,26.08695652173913,25.0,46.0,54.34782608695652,115.0,7.0,51.0,58.0,15.0,23.0,8.0,12.0,20.0,24.0,39.0,49.0,9.0,11.0
G. Abadiano,UP,201.86666666669998,18.0,64.0,28.125,12.0,34.0,35.294117647058826,6.0,30.0,20.0,6.0,9.0,66.66666666666667,48.0,4.0,14.0,18.0,21.0,10.0,9.0,0.0,9.0,12.0,16.0,67.0,8.0,10.0
T. Fortea,UP,178.2166666667,26.0,62.0,41.935483870967744,11.0,21.0,52.38095238095238,15.0,41.0,36.58536585365854,13.0,16.0,81.25,80.0,4.0,18.0,22.0,21.0,16.0,10.0,1.0,11.0,15.0,14.0,42.0,9.0,11.0
G. Stevens,UP,80.6666666667,9.0,16.0,56.25,9.0,16.0,56.25,0.0,0.0,0.0,5.0,15.0,33.333333333333336,23.0,12.0,16.0,28.0,3.0,6.0,1.0,2.0,3.0,20.0,10.0,24.0,8.0,10.0
M. Belmonte,UP,136.3166666665,22.0,46.0,47.82608695652174,18.0,35.0,51.42857142857143,4.0,11.0,36.36363636363637,5.0,6.0,83.33333333333333,53.0,6.0,27.0,33.0,13.0,16.0,2.0,2.0,4.0,18.0,9.0,52.0,9.0,11.0
H. Alarcon,UP,177.8499999999,36.0,77.0,46.753246753246756,31.0,57.0,54.3859649122807,5.0,20.0,25.0,13.0,19.0,68.42105263157895,90.0,4.0,28.0,32.0,15.0,11.0,8.0,3.0,11.0,20.0,19.0,96.0,8.0,10.0
S. Torculas,UP,71.75,10.0,30.0,33.333333333333336,8.0,22.0,36.36363636363637,2.0,8.0,25.0,5.0,9.0,55.55555555555556,27.0,8.0,13.0,21.0,4.0,7.0,5.0,2.0,7.0,7.0,8.0,-7.0,7.0,9.0
J. Cagulangan,UP,208.5333333334,39.0,93.0,41.935483870967744,26.0,54.0,48.148148148148145,13.0,39.0,33.333333333333336,12.0,14.0,85.71428571428571,103.0,17.0,18.0,35.0,42.0,28.0,12.0,0.0,12.0,10.0,25.0,86.0,8.0,9.0
J. Bayla,UP,180.9166666667,15.0,41.0,36.58536585365854,10.0,24.0,41.666666666666664,5.0,17.0,29.41176470588235,10.0,21.0,47.61904761904762,45.0,13.0,20.0,33.0,9.0,9.0,6.0,2.0,8.0,21.0,15.0,31.0,9.0,11.0
