,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
A. Acido,UST,125.28333333330002,11.0,45.0,24.444444444444443,3.0,11.0,27.272727272727273,8.0,34.0,23.529411764705884,5.0,7.0,71.42857142857143,35.0,9.0,15.0,24.0,10.0,6.0,3.0,1.0,4.0,9.0,7.0,-28.0,6.0,13.0
M. Tounkara,UST,340.6,69.0,147.0,46.93877551020408,59.0,115.0,51.30434782608695,10.0,32.0,31.25,21.0,32.0,65.625,169.0,38.0,81.0,119.0,12.0,32.0,6.0,7.0,13.0,30.0,33.0,56.0,6.0,12.0
M. Pangilinan,UST,123.29999999990001,8.0,32.0,25.0,0.0,2.0,0.0,8.0,30.0,26.666666666666668,5.0,7.0,71.42857142857143,29.0,4.0,14.0,18.0,5.0,10.0,4.0,1.0,5.0,15.0,4.0,-29.0,6.0,13.0
M. Llemit,UST,194.58333333329998,13.0,45.0,28.88888888888889,6.0,23.0,26.08695652173913,7.0,22.0,31.818181818181817,8.0,15.0,53.333333333333336,41.0,13.0,24.0,37.0,13.0,9.0,9.0,2.0,11.0,21.0,19.0,-56.0,6.0,13.0
L. Estacio,UST,112.7333333335,6.0,24.0,25.0,3.0,5.0,60.0,3.0,19.0,15.789473684210526,1.0,1.0,100.0,16.0,3.0,11.0,14.0,12.0,8.0,5.0,1.0,6.0,11.0,5.0,-22.0,6.0,12.0
K. Paranada,UST,140.24999999989998,21.0,48.0,43.75,9.0,19.0,47.36842105263158,12.0,29.0,41.37931034482759,8.0,15.0,53.333333333333336,62.0,2.0,11.0,13.0,23.0,19.0,5.0,0.0,5.0,20.0,11.0,-34.0,6.0,13.0
I. Calum,UST,23.85,1.0,3.0,33.333333333333336,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,6.0,2.0,0.0,2.0,0.0,2.0,4.0,1.0,-8.0,2.0,5.0
G. Robinson,UST,97.6500000001,7.0,22.0,31.818181818181817,6.0,14.0,42.857142857142854,1.0,8.0,12.5,6.0,11.0,54.54545454545455,21.0,5.0,12.0,17.0,8.0,4.0,3.0,0.0,3.0,13.0,9.0,-20.0,3.0,10.0
G. Danting,UST,68.4499999999,7.0,14.0,50.0,2.0,3.0,66.66666666666667,5.0,11.0,45.45454545454545,3.0,6.0,50.0,22.0,1.0,9.0,10.0,0.0,4.0,3.0,0.0,3.0,6.0,6.0,10.0,2.0,8.0
G. Crisostomo,UST,244.0833333333,24.0,52.0,46.15384615384615,22.0,43.0,51.16279069767442,2.0,9.0,22.22222222222222,9.0,13.0,69.23076923076923,59.0,24.0,61.0,85.0,8.0,9.0,6.0,11.0,17.0,36.0,17.0,8.0,6.0,13.0
F. Padrigao,UST,355.76666666669996,42.0,134.0,31.34328358208955,21.0,44.0,47.72727272727273,21.0,90.0,23.333333333333332,11.0,18.0,61.111111111111114,116.0,7.0,37.0,44.0,79.0,38.0,19.0,0.0,19.0,27.0,35.0,24.0,6.0,13.0
E. Laure,UST,27.2166666667,4.0,9.0,44.44444444444444,4.0,9.0,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,-27.0,2.0,7.0
C. Manaytay,UST,279.49999999989996,39.0,88.0,44.31818181818182,31.0,68.0,45.588235294117645,8.0,20.0,40.0,25.0,33.0,75.75757575757575,111.0,21.0,32.0,53.0,16.0,28.0,12.0,3.0,15.0,35.0,28.0,-16.0,6.0,13.0
C. Lane,UST,71.1499999999,6.0,15.0,40.0,4.0,8.0,50.0,2.0,7.0,28.571428571428573,6.0,8.0,75.0,20.0,3.0,5.0,8.0,4.0,3.0,3.0,0.0,3.0,6.0,5.0,36.0,4.0,9.0
N. Cabanero,UST,391.91666666659995,78.0,186.0,41.935483870967744,65.0,127.0,51.181102362204726,13.0,59.0,22.033898305084747,46.0,74.0,62.16216216216216,215.0,23.0,45.0,68.0,25.0,16.0,12.0,1.0,13.0,25.0,67.0,51.0,6.0,13.0
Z. Mahmood,UST,27.3,1.0,4.0,25.0,1.0,3.0,33.333333333333336,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,-10.0,1.0,7.0
