PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
K. Quiambao,DLSU,30.53333333334,6.2,15.6,39.7435897436,4.2,8.2,51.2195121951,2.0,7.4,27.027027027,2.6,4.0,65.0,17.0,2.6,6.6,9.2,6.2,3.6,1.6,0.2,1.8,1.2,4.8,11.0,4.0,5.0
J. Cagulangan,UP,24.116666666675,5.5,11.25,48.8888888889,3.75,7.5,50.0,1.75,3.75,46.6666666667,1.75,2.25,77.7777777778,14.5,1.5,3.5,5.0,5.75,2.0,0.75,0.0,0.75,1.5,4.0,14.25,4.0,4.0
S. Tuano,ADMU,23.5125,5.0,10.0,50.0,4.75,7.75,61.2903225806,0.25,2.25,11.1111111111,3.0,7.5,40.0,13.25,2.5,2.0,4.5,0.75,2.0,1.0,0.0,1.0,1.75,4.5,-5.0,1.0,4.0
N. Cabanero,UST,26.0125,4.5,12.5,36.0,3.0,7.0,42.8571428571,1.5,5.5,27.2727272727,2.25,4.5,50.0,12.75,1.25,3.5,4.75,2.0,0.5,0.5,0.25,0.75,1.75,4.5,6.75,3.0,4.0
M. Tounkara,UST,30.25,5.0,10.75,46.511627907,4.75,9.5,50.0,0.25,1.25,20.0,2.5,3.0,83.3333333333,12.75,2.75,5.5,8.25,1.5,2.0,0.75,0.5,1.25,2.0,3.0,5.25,3.0,4.0
J. Bautista,FEU,28.04,4.4,15.4,28.5714285714,2.8,8.6,32.5581395349,1.6,6.8,23.5294117647,1.0,1.4,71.4285714286,11.4,0.4,3.2,3.6,1.6,1.2,1.4,0.0,1.4,2.2,2.2,-1.8,0.0,5.0
V. Pre,FEU,32.760000000000005,4.4,13.4,32.8358208955,4.2,10.6,39.6226415094,0.2,2.8,7.1428571429,2.4,3.8,63.1578947368,11.4,2.2,3.6,5.8,1.8,3.0,0.4,0.4,0.8,2.0,2.6,-10.2,0.0,5.0
J. Figueroa,NU,30.393333333319998,4.4,12.2,36.0655737705,4.2,9.6,43.75,0.2,2.6,7.6923076923,2.2,4.0,55.0,11.2,2.4,3.8,6.2,2.6,2.8,1.0,0.4,1.4,3.0,5.0,-6.0,1.0,5.0
P. Momowei,UE,33.720833333325,3.5,9.25,37.8378378378,3.5,8.75,40.0,0.0,0.5,0.0,4.0,9.25,43.2432432432,11.0,2.0,9.75,11.75,1.75,4.5,0.5,1.25,1.75,3.5,8.75,2.75,2.0,4.0
M. Phillips,DLSU,21.919999999999998,4.4,10.0,44.0,4.2,8.6,48.8372093023,0.2,1.4,14.2857142857,1.8,3.0,60.0,10.8,3.6,7.4,11.0,2.2,2.6,2.0,1.0,3.0,2.2,3.2,6.4,4.0,5.0
F. Lopez,UP,17.295833333325,3.5,6.0,58.3333333333,3.25,4.75,68.4210526316,0.25,1.25,20.0,3.25,5.25,61.9047619048,10.5,0.25,4.5,4.75,1.5,1.75,0.25,1.25,1.5,1.75,4.5,5.0,4.0,4.0
J. Lazaro,ADMU,26.149999999975,4.5,10.25,43.9024390244,4.0,8.75,45.7142857143,0.5,1.5,33.3333333333,1.0,2.5,40.0,10.5,2.75,4.75,7.5,2.25,2.25,0.5,0.5,1.0,2.0,4.25,-8.0,1.0,4.0
W. Lingolingo,UE,24.195833333325,3.25,9.25,35.1351351351,0.75,2.75,27.2727272727,2.5,6.5,38.4615384615,1.0,1.0,100.0,10.0,2.0,3.0,5.0,0.75,0.5,1.25,0.0,1.25,2.75,1.5,0.5,2.0,4.0
M. Montebon,AdU,20.41666666666,3.2,8.4,38.0952380952,2.2,5.2,42.3076923077,1.0,3.2,31.25,2.6,3.0,86.6666666667,10.0,0.6,2.2,2.8,2.2,2.0,1.4,0.0,1.4,1.6,2.6,0.2,3.0,5.0
M. Konateh,FEU,31.356666666659997,3.2,8.4,38.0952380952,3.2,8.4,38.0952380952,0.0,0.0,0.0,2.6,3.6,72.2222222222,9.0,5.4,11.4,16.8,1.0,2.0,1.4,2.2,3.6,2.2,3.8,-2.6,0.0,5.0
G. Wilson,UE,16.35833333335,3.25,6.0,54.1666666667,2.75,4.75,57.8947368421,0.5,1.25,40.0,1.75,2.0,87.5,8.75,0.5,1.0,1.5,1.25,1.5,0.75,0.0,0.75,0.5,1.5,3.0,2.0,4.0
C. Manzano,AdU,21.29,3.0,7.0,42.8571428571,3.0,7.0,42.8571428571,0.0,0.0,0.0,2.6,3.0,86.6666666667,8.6,3.4,4.6,8.0,1.8,3.0,0.4,1.4,1.8,3.0,3.4,6.4,3.0,5.0
C. Manaytay,UST,18.766666666675,3.25,5.0,65.0,3.0,4.0,75.0,0.25,1.0,25.0,1.5,1.75,85.7142857143,8.25,1.25,2.0,3.25,1.25,2.0,1.0,0.0,1.0,2.0,1.75,0.75,3.0,4.0
J. Abate,UE,22.44166666665,2.75,7.0,39.2857142857,2.0,4.5,44.4444444444,0.75,2.5,30.0,1.75,2.25,77.7777777778,8.0,1.75,2.0,3.75,1.75,2.25,0.75,0.0,0.75,2.5,1.5,0.5,2.0,4.0
I. Manansala,NU,20.90666666666,2.6,8.0,32.5,2.4,6.0,40.0,0.2,2.0,10.0,2.6,3.4,76.4705882353,8.0,2.8,3.2,6.0,0.8,1.2,1.0,0.0,1.0,1.8,3.2,1.6,1.0,5.0
Q. Millora-Brown,UP,18.4,2.5,5.0,50.0,2.25,4.75,47.3684210526,0.25,0.25,100.0,2.5,3.5,71.4285714286,7.75,2.25,7.0,9.25,0.75,1.0,0.0,1.25,1.25,2.5,4.25,13.0,4.0,4.0
E. Galang,UE,26.562500000025,2.5,7.25,34.4827586207,1.0,2.5,40.0,1.5,4.75,31.5789473684,1.0,1.25,80.0,7.5,0.5,2.0,2.5,2.25,1.0,2.0,0.75,2.75,3.5,1.75,-0.75,2.0,4.0
J. Bahay,ADMU,22.9875,2.0,10.25,19.512195122,0.75,3.25,23.0769230769,1.25,7.0,17.8571428571,2.0,2.5,80.0,7.25,1.0,3.0,4.0,4.25,1.0,1.0,0.0,1.0,1.75,3.25,-4.0,1.0,4.0
K. Porter,ADMU,22.891666666675,2.75,7.5,36.6666666667,2.25,4.75,47.3684210526,0.5,2.75,18.1818181818,1.25,2.25,55.5555555556,7.25,2.5,5.25,7.75,0.25,1.0,0.5,0.25,0.75,2.0,1.5,-1.75,1.0,4.0
S. Enriquez,NU,18.43666666666,2.2,5.2,42.3076923077,0.8,2.6,30.7692307692,1.4,2.6,53.8461538462,1.4,1.6,87.5,7.2,0.6,2.0,2.6,3.0,1.4,0.4,0.0,0.4,1.0,1.8,-3.4,1.0,5.0
P. Palacielo,NU,20.53666666666,3.4,8.4,40.4761904762,3.4,8.0,42.5,0.0,0.4,0.0,0.4,1.2,33.3333333333,7.2,1.8,4.2,6.0,1.0,1.8,1.2,0.4,1.6,3.6,1.4,2.4,1.0,5.0
E. Gollena,DLSU,17.506666666660003,2.0,4.4,45.4545454545,1.2,2.8,42.8571428571,0.8,1.6,50.0,2.2,3.0,73.3333333333,7.0,2.0,0.2,2.2,0.4,1.0,0.8,0.2,1.0,1.4,2.4,3.8,4.0,5.0
J. Yerro,AdU,21.76666666666,2.2,7.2,30.5555555556,1.6,3.6,44.4444444444,0.6,3.6,16.6666666667,1.8,2.2,81.8181818182,6.8,0.6,2.0,2.6,0.8,2.0,0.8,0.0,0.8,2.0,1.8,-0.6,3.0,5.0
R. Maga,UE,19.5,3.0,6.75,44.4444444444,2.5,5.5,45.4545454545,0.5,1.25,40.0,0.25,0.25,100.0,6.75,0.5,1.0,1.5,1.0,1.25,1.0,0.0,1.0,1.5,0.75,-2.25,2.0,4.0
M. Belmonte,UP,14.21666666665,3.0,5.75,52.1739130435,2.5,4.5,55.5555555556,0.5,1.25,40.0,0.25,0.25,100.0,6.75,0.5,2.25,2.75,1.5,1.25,0.25,0.25,0.5,1.5,1.0,7.25,4.0,4.0
League,League,19.55211259673944,2.41985596191213,6.615348006678832,36.5794204548,1.8965816814845489,4.43766534182371,42.7382764446,0.5232742804275812,2.177682664855122,24.0289500798,1.282123334038643,2.013080028583009,63.6896355752,6.645109538290484,1.3571880080404184,3.146329358845814,4.503517366886233,1.6323878809847732,1.4710131980956285,0.7348815389565839,0.32446181622129217,1.059343355177876,1.841868942674695,2.139385001480288,0.23219427693024847,2.1728440809,4.4332311227
K. Padrones,NU,20.76666666666,2.6,4.2,61.9047619048,2.0,3.2,62.5,0.6,1.0,60.0,0.8,2.0,40.0,6.6,3.2,2.4,5.6,0.4,1.0,0.4,0.8,1.2,2.0,1.6,-8.0,1.0,5.0
H. Agunanne,DLSU,17.033333333319998,2.8,6.8,41.1764705882,2.8,6.2,45.1612903226,0.0,0.6,0.0,0.8,2.0,40.0,6.4,3.2,4.8,8.0,0.6,2.6,0.6,0.6,1.2,1.6,2.4,1.8,4.0,5.0
G. Crisostomo,UST,19.95833333335,2.5,5.25,47.619047619,2.5,4.5,55.5555555556,0.0,0.75,0.0,1.25,1.5,83.3333333333,6.25,1.75,6.75,8.5,0.5,0.75,0.5,0.5,1.0,2.5,2.0,3.0,3.0,4.0
R. Mantua,AdU,15.669999999999998,2.2,4.6,47.8260869565,1.4,2.6,53.8461538462,0.8,2.0,40.0,1.0,1.2,83.3333333333,6.2,0.4,1.6,2.0,1.0,1.2,0.4,0.2,0.6,1.0,1.0,-3.4,3.0,5.0
J. Macalalag,DLSU,20.29,2.6,5.8,44.8275862069,2.2,4.0,55.0,0.4,1.8,22.2222222222,0.6,1.4,42.8571428571,6.2,1.4,1.6,3.0,1.2,0.8,0.6,0.2,0.8,0.8,1.6,8.2,4.0,5.0
J. Bayla,UP,19.175000000025,1.75,4.0,43.75,0.75,2.0,37.5,1.0,2.0,50.0,1.5,3.0,50.0,6.0,0.75,2.75,3.5,1.0,1.0,0.25,0.25,0.5,1.75,2.0,14.0,4.0,4.0
H. Alarcon,UP,15.383333333325,2.25,5.0,45.0,2.0,4.0,50.0,0.25,1.0,25.0,1.25,1.25,100.0,6.0,0.0,2.5,2.5,2.0,1.25,0.5,0.25,0.75,1.75,1.25,7.75,4.0,4.0
J. Pasaol,FEU,24.716666666680002,2.0,8.8,22.7272727273,1.6,6.8,23.5294117647,0.4,2.0,20.0,1.6,2.4,66.6666666667,6.0,0.4,4.0,4.4,2.6,3.2,1.2,0.0,1.2,2.0,2.6,-9.8,0.0,5.0
A. Fransman,AdU,18.47333333332,2.0,7.2,27.7777777778,1.2,3.8,31.5789473684,0.8,3.4,23.5294117647,0.8,0.8,100.0,5.6,1.4,6.2,7.6,1.0,1.6,1.6,0.4,2.0,1.4,1.2,-1.4,3.0,5.0
M. Erolon,AdU,15.24333333332,2.4,6.2,38.7096774194,1.8,3.6,50.0,0.6,2.6,23.0769230769,0.2,0.4,50.0,5.6,0.2,0.6,0.8,3.4,1.0,1.2,0.0,1.2,1.6,1.2,1.8,3.0,5.0
C. Koon,ADMU,16.05833333335,2.0,6.5,30.7692307692,1.0,4.0,25.0,1.0,2.5,40.0,0.5,1.5,33.3333333333,5.5,1.0,1.5,2.5,1.0,1.0,0.5,0.0,0.5,2.5,2.5,4.5,1.0,2.0
D. Ududo,UP,10.270833333325,2.25,5.75,39.1304347826,2.25,5.75,39.1304347826,0.0,0.0,0.0,1.0,2.0,50.0,5.5,2.25,1.5,3.75,0.25,0.5,0.25,0.25,0.5,2.75,2.0,1.0,4.0,4.0
E. Abadam,DLSU,18.19999999998,2.0,5.4,37.037037037,1.4,3.0,46.6666666667,0.6,2.4,25.0,0.8,1.2,66.6666666667,5.4,0.4,1.0,1.4,1.0,0.8,0.6,0.2,0.8,1.4,1.0,6.8,4.0,5.0
R. Alforque,FEU,21.93666666664,2.2,6.0,36.6666666667,1.8,4.8,37.5,0.4,1.2,33.3333333333,0.6,0.6,100.0,5.4,1.0,3.4,4.4,3.0,2.0,1.0,0.0,1.0,1.8,2.4,-1.2,0.0,5.0
R. Jumamoy,NU,13.076666666680001,1.6,7.8,20.5128205128,1.0,4.8,20.8333333333,0.6,3.0,20.0,1.6,1.6,100.0,5.4,0.6,1.2,1.8,1.4,2.0,1.2,0.0,1.2,1.0,2.4,-2.2,1.0,5.0
R. Gonzales,DLSU,12.73999999998,2.2,3.2,68.75,2.0,3.0,66.6666666667,0.2,0.2,100.0,0.8,1.2,66.6666666667,5.4,1.0,2.0,3.0,1.0,1.6,1.2,0.4,1.6,2.0,0.8,-0.2,4.0,5.0
G. Abadiano,UP,17.441666666675,2.0,6.75,29.6296296296,1.25,4.0,31.25,0.75,2.75,27.2727272727,0.5,0.5,100.0,5.25,0.75,1.75,2.5,2.75,0.25,1.0,0.0,1.0,0.5,0.5,14.75,4.0,4.0
M. Llemit,UST,17.291666666675,1.5,3.5,42.8571428571,0.75,1.25,60.0,0.75,2.25,33.3333333333,1.5,1.75,85.7142857143,5.25,0.25,2.0,2.25,1.75,0.75,0.75,0.0,0.75,2.75,2.5,-0.75,3.0,4.0
F. Padrigao,UST,23.112500000025,2.0,8.75,22.8571428571,1.0,3.0,33.3333333333,1.0,5.75,17.3913043478,0.25,1.0,25.0,5.25,0.0,4.0,4.0,6.75,2.75,0.75,0.0,0.75,2.0,1.75,6.5,3.0,4.0
D. Dungo,DLSU,10.88999999998,1.6,3.0,53.3333333333,0.6,0.8,75.0,1.0,2.2,45.4545454545,0.8,0.8,100.0,5.0,0.6,1.0,1.6,1.6,0.8,0.2,0.0,0.2,1.2,1.2,2.0,4.0,5.0
J. Felicilda,UP,10.627777777766667,2.0,3.6666666666666665,54.5454545455,1.0,2.0,50.0,1.0,1.6666666666666667,60.0,0.0,0.0,0.0,5.0,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335,0.0,3.0,3.0,3.0
D. Fikes,UE,18.42916666665,1.75,4.75,36.8421052632,1.5,2.25,66.6666666667,0.25,2.5,10.0,1.25,2.75,45.4545454545,5.0,1.5,2.25,3.75,1.5,2.25,0.5,0.25,0.75,3.25,2.0,-6.75,2.0,4.0
