,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
W. Espina,ADMU,78.5333333332,6.0,26.0,23.076923076923077,3.0,11.0,27.272727272727273,3.0,15.0,20.0,4.0,7.0,57.142857142857146,19.0,3.0,4.0,7.0,7.0,5.0,5.0,1.0,6.0,10.0,4.0,15.0,3.0,10.0
C. Koon,ADMU,197.8666666666,18.0,67.0,26.865671641791046,9.0,33.0,27.272727272727273,9.0,34.0,26.470588235294116,10.0,22.0,45.45454545454545,55.0,8.0,24.0,32.0,20.0,6.0,6.0,0.0,6.0,19.0,24.0,-20.0,3.0,8.0
K. Gamber,ADMU,51.3166666667,7.0,21.0,33.333333333333336,0.0,5.0,0.0,7.0,16.0,43.75,1.0,1.0,100.0,22.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,-26.0,2.0,8.0
S. Tuano,ADMU,204.6833333334,41.0,85.0,48.23529411764706,38.0,69.0,55.072463768115945,3.0,16.0,18.75,19.0,42.0,45.23809523809524,104.0,13.0,13.0,26.0,7.0,20.0,8.0,0.0,8.0,18.0,30.0,-33.0,3.0,10.0
K. Ong,ADMU,39.5833333333,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,5.0,2.0,8.0,10.0,0.0,1.0,0.0,2.0,2.0,7.0,2.0,-11.0,1.0,7.0
S. Quitevis,ADMU,262.8833333334,12.0,34.0,35.294117647058826,8.0,17.0,47.05882352941177,4.0,17.0,23.529411764705884,6.0,6.0,100.0,34.0,6.0,16.0,22.0,23.0,7.0,9.0,0.0,9.0,32.0,11.0,-55.0,3.0,10.0
J. Bahay,ADMU,235.9833333334,35.0,123.0,28.45528455284553,20.0,50.0,40.0,15.0,73.0,20.54794520547945,24.0,36.0,66.66666666666667,109.0,8.0,23.0,31.0,44.0,13.0,7.0,0.0,7.0,21.0,31.0,-32.0,3.0,10.0
K. Porter,ADMU,236.45,25.0,78.0,32.05128205128205,17.0,47.0,36.170212765957444,8.0,31.0,25.806451612903224,13.0,27.0,48.148148148148145,71.0,24.0,47.0,71.0,6.0,8.0,10.0,4.0,14.0,22.0,16.0,-33.0,3.0,10.0
M. Reyes,ADMU,5.0666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0
F. Edu,ADMU,22.083333333400002,2.0,3.0,66.66666666666667,2.0,2.0,100.0,0.0,1.0,0.0,1.0,4.0,25.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,5.0,3.0,11.0,3.0,5.0
A. Bongo,ADMU,198.6,19.0,67.0,28.35820895522388,5.0,20.0,25.0,14.0,47.0,29.78723404255319,14.0,17.0,82.3529411764706,66.0,10.0,21.0,31.0,13.0,5.0,8.0,2.0,10.0,21.0,17.0,-17.0,3.0,10.0
A. Balogun,ADMU,112.5,8.0,27.0,29.62962962962963,8.0,23.0,34.78260869565217,0.0,4.0,0.0,17.0,28.0,60.714285714285715,33.0,17.0,21.0,38.0,2.0,9.0,3.0,4.0,7.0,18.0,25.0,-15.0,3.0,10.0
J. Lazaro,ADMU,207.08333333320002,31.0,73.0,42.465753424657535,25.0,60.0,41.666666666666664,6.0,13.0,46.15384615384615,7.0,19.0,36.8421052631579,75.0,20.0,34.0,54.0,14.0,12.0,5.0,4.0,9.0,20.0,27.0,-63.0,2.0,9.0
I. Espinosa,ADMU,171.5,13.0,43.0,30.232558139534884,9.0,26.0,34.61538461538461,4.0,17.0,23.529411764705884,15.0,22.0,68.18181818181819,45.0,5.0,27.0,32.0,19.0,9.0,10.0,3.0,13.0,16.0,34.0,-16.0,3.0,10.0
M. Erolon,AdU,171.5499999999,27.0,71.0,38.028169014084504,14.0,32.0,43.75,13.0,39.0,33.333333333333336,2.0,3.0,66.66666666666667,69.0,1.0,13.0,14.0,27.0,14.0,9.0,0.0,9.0,14.0,14.0,20.0,4.0,10.0
J. Calisay,AdU,218.24999999999997,15.0,66.0,22.727272727272727,6.0,29.0,20.689655172413794,9.0,37.0,24.324324324324323,4.0,10.0,40.0,43.0,7.0,41.0,48.0,17.0,13.0,7.0,1.0,8.0,16.0,12.0,0.0,4.0,11.0
J. Yerro,AdU,242.0666666667,19.0,65.0,29.23076923076923,13.0,33.0,39.39393939393939,6.0,32.0,18.75,11.0,15.0,73.33333333333333,55.0,6.0,21.0,27.0,15.0,22.0,7.0,0.0,7.0,25.0,14.0,-32.0,4.0,11.0
F. Dignadice,AdU,11.3833333334,1.0,4.0,25.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,-11.0,2.0,6.0
J. Barcelona,AdU,13.6500000001,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,-12.0,1.0,4.0
E. Ramos,AdU,93.3333333333,7.0,25.0,28.0,6.0,21.0,28.571428571428573,1.0,4.0,25.0,3.0,8.0,37.5,18.0,8.0,9.0,17.0,3.0,6.0,2.0,1.0,3.0,13.0,15.0,-40.0,4.0,10.0
M. Anabo,AdU,144.01666666670002,10.0,37.0,27.027027027027028,5.0,11.0,45.45454545454545,5.0,26.0,19.23076923076923,7.0,14.0,50.0,32.0,2.0,21.0,23.0,10.0,4.0,5.0,0.0,5.0,8.0,12.0,-20.0,4.0,11.0
R. Mantua,AdU,174.7666666666,17.0,52.0,32.69230769230769,10.0,31.0,32.25806451612903,7.0,21.0,33.333333333333336,11.0,12.0,91.66666666666667,52.0,4.0,17.0,21.0,11.0,16.0,4.0,1.0,5.0,18.0,11.0,-34.0,4.0,11.0
M. Ojarikre,AdU,240.10000000009998,16.0,35.0,45.714285714285715,16.0,35.0,45.714285714285715,0.0,0.0,0.0,9.0,26.0,34.61538461538461,41.0,38.0,60.0,98.0,1.0,20.0,2.0,27.0,29.0,21.0,23.0,-29.0,4.0,11.0
C. Alexander,AdU,65.4000000001,2.0,8.0,25.0,0.0,1.0,0.0,2.0,7.0,28.571428571428573,1.0,2.0,50.0,7.0,3.0,5.0,8.0,6.0,12.0,1.0,0.0,1.0,9.0,1.0,2.0,2.0,8.0
M. Barasi Jr,AdU,113.6999999999,2.0,13.0,15.384615384615385,2.0,13.0,15.384615384615385,0.0,0.0,0.0,7.0,9.0,77.77777777777777,11.0,4.0,17.0,21.0,4.0,6.0,1.0,1.0,2.0,13.0,11.0,-2.0,4.0,10.0
A. Ronzone,AdU,26.2666666667,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,-6.0,2.0,6.0
A. Ignacio,AdU,16.85,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,2.0,2.0,100.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,-21.0,3.0,7.0
A. Fransman,AdU,208.71666666660002,30.0,91.0,32.967032967032964,16.0,46.0,34.78260869565217,14.0,45.0,31.11111111111111,10.0,13.0,76.92307692307692,84.0,13.0,59.0,72.0,7.0,16.0,11.0,4.0,15.0,14.0,14.0,-55.0,4.0,11.0
C. Manzano,AdU,250.4666666667,36.0,86.0,41.86046511627907,36.0,86.0,41.86046511627907,0.0,0.0,0.0,32.0,45.0,71.11111111111111,104.0,39.0,48.0,87.0,21.0,32.0,9.0,10.0,19.0,32.0,41.0,3.0,4.0,11.0
M. Montebon,AdU,233.38333333330002,35.0,96.0,36.458333333333336,20.0,49.0,40.816326530612244,15.0,47.0,31.914893617021278,24.0,34.0,70.58823529411765,109.0,4.0,26.0,30.0,26.0,25.0,14.0,2.0,16.0,17.0,29.0,-48.0,4.0,11.0
H. Agunanne,DLSU,157.3333333333,23.0,55.0,41.81818181818182,22.0,50.0,44.0,1.0,5.0,20.0,9.0,20.0,45.0,56.0,24.0,35.0,59.0,5.0,26.0,4.0,5.0,9.0,22.0,21.0,25.0,10.0,11.0
V. David,DLSU,236.63333333330002,23.0,60.0,38.333333333333336,9.0,24.0,37.5,14.0,36.0,38.888888888888886,6.0,8.0,75.0,66.0,12.0,52.0,64.0,49.0,19.0,10.0,0.0,10.0,18.0,9.0,122.0,10.0,11.0
E. Abadam,DLSU,150.3833333332,15.0,44.0,34.09090909090909,10.0,22.0,45.45454545454545,5.0,22.0,22.727272727272727,6.0,11.0,54.54545454545455,41.0,7.0,11.0,18.0,10.0,9.0,3.0,1.0,4.0,17.0,8.0,68.0,8.0,9.0
E. Gollena,DLSU,179.4333333333,20.0,46.0,43.47826086956522,12.0,25.0,48.0,8.0,21.0,38.095238095238095,21.0,26.0,80.76923076923077,69.0,13.0,12.0,25.0,9.0,8.0,6.0,1.0,7.0,20.0,22.0,67.0,10.0,11.0
K. Quiambao,DLSU,329.31666666679996,69.0,165.0,41.81818181818182,41.0,89.0,46.06741573033708,28.0,76.0,36.8421052631579,38.0,49.0,77.55102040816327,204.0,17.0,79.0,96.0,48.0,37.0,11.0,3.0,14.0,13.0,48.0,139.0,10.0,11.0
E. Alian,DLSU,12.6666666667,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,9.0,2.0,2.0
M. Rubico,DLSU,18.6333333332,1.0,3.0,33.333333333333336,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,5.0,1.0,0.0,1.0,4.0,1.0,-2.0,5.0,5.0
M. Phillips,DLSU,251.51666666659997,43.0,100.0,43.0,40.0,84.0,47.61904761904762,3.0,16.0,18.75,30.0,55.0,54.54545454545455,119.0,48.0,79.0,127.0,27.0,30.0,17.0,12.0,29.0,27.0,46.0,54.0,10.0,11.0
L. Ramiro,DLSU,167.3666666668,9.0,37.0,24.324324324324323,3.0,18.0,16.666666666666668,6.0,19.0,31.57894736842105,1.0,2.0,50.0,25.0,2.0,24.0,26.0,21.0,12.0,3.0,4.0,7.0,18.0,10.0,9.0,10.0,11.0
R. Gonzales,DLSU,126.4666666666,25.0,41.0,60.97560975609756,23.0,38.0,60.526315789473685,2.0,3.0,66.66666666666667,8.0,10.0,80.0,60.0,12.0,21.0,33.0,10.0,11.0,11.0,6.0,17.0,15.0,6.0,46.0,10.0,11.0
D. Dungo,DLSU,100.1999999999,11.0,30.0,36.666666666666664,3.0,9.0,33.333333333333336,8.0,21.0,38.095238095238095,11.0,12.0,91.66666666666667,41.0,4.0,9.0,13.0,12.0,10.0,1.0,0.0,1.0,9.0,10.0,5.0,9.0,10.0
C. Austria,DLSU,111.39999999980002,10.0,29.0,34.48275862068966,9.0,20.0,45.0,1.0,9.0,11.11111111111111,6.0,8.0,75.0,27.0,8.0,8.0,16.0,19.0,17.0,1.0,1.0,2.0,8.0,8.0,9.0,7.0,7.0
J. Macalalag,DLSU,218.45000000009998,28.0,63.0,44.44444444444444,19.0,40.0,47.5,9.0,23.0,39.130434782608695,6.0,10.0,60.0,71.0,11.0,13.0,24.0,14.0,9.0,4.0,4.0,8.0,15.0,11.0,96.0,10.0,11.0
A. Konov,DLSU,33.666666666699996,2.0,7.0,28.571428571428573,0.0,1.0,0.0,2.0,6.0,33.333333333333336,0.0,0.0,0.0,6.0,2.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,-7.0,6.0,6.0
V. Marasigan,DLSU,125.4666666666,20.0,49.0,40.816326530612244,15.0,36.0,41.666666666666664,5.0,13.0,38.46153846153846,12.0,19.0,63.1578947368421,57.0,9.0,18.0,27.0,5.0,10.0,5.0,1.0,6.0,27.0,19.0,45.0,10.0,11.0
I. Phillips,DLSU,5.0333333333,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
J. Bautista,FEU,288.5166666666,51.0,147.0,34.69387755102041,35.0,86.0,40.69767441860465,16.0,61.0,26.229508196721312,20.0,25.0,80.0,138.0,6.0,34.0,40.0,15.0,10.0,14.0,0.0,14.0,15.0,28.0,11.0,3.0,10.0
M. Ona,FEU,72.9000000001,3.0,11.0,27.272727272727273,3.0,9.0,33.333333333333336,0.0,2.0,0.0,3.0,5.0,60.0,9.0,6.0,10.0,16.0,2.0,1.0,0.0,1.0,1.0,20.0,5.0,-12.0,3.0,10.0
